listing_id,name,host_id,host_name,location_id,city,neighbourhood,room_id,room_type,price_per_day,Number_of_host_listings,max_guest
2539,Clean & quiet apt home by the park,2787,John,111513530,Brooklyn,Kensington,36006,Private room,149,6,3
2595,Skylit Midtown Castle,2845,Jennifer,115639136,Manhattan,Midtown,36067,Entire home/apt,225,2,1
3647,THE VILLAGE OF HARLEM....NEW YORK !,4632,Elisabeth,117675818,Manhattan,Harlem,36066,Private room,150,1,10
3831,Cozy Entire Floor of Brownstone,4869,LisaRoxanne,121605673,Brooklyn,Clinton Hill,36703,Entire home/apt,89,1,3
5022,Entire Apt: Spacious Studio/Loft by central park,7192,Laura,133130219,Manhattan,East Harlem,36701,Entire home/apt,80,1,4
5099,Large Cozy 1 BR Apartment In Midtown East,7322,Chris,134286190,Manhattan,Murray Hill,36091,Entire home/apt,200,1,2
5121,BlissArtsSpace!,7356,Garon,136743465,Brooklyn,Bedford-Stuyvesant,36051,Private room,60,1,2
5178,Large Furnished Room Near B'way ,8967,Shunichi,141969940,Manhattan,Hell's Kitchen,36068,Private room,79,1,1
5203,Cozy Clean Guest Room - Family Apt,7490,MaryEllen,175485704,Manhattan,Upper West Side,36008,Private room,79,1,5
5238,Cute & Cozy Lower East Side 1 bdrm,7549,Ben,196406165,Manhattan,Chinatown,36022,Entire home/apt,150,4,2
5295,Beautiful 1br on Upper West Side,7702,Lena,227832999,Manhattan,Upper West Side,36749,Entire home/apt,135,1,4
5441,Central Manhattan/near Broadway,7989,Kate,228003844,Manhattan,Hell's Kitchen,36758,Private room,85,1,2
5803,"Lovely Room 1, Garden, Best Area, Legal rental",9744,Laurie,229924287,Brooklyn,South Slope,36550,Private room,89,3,10
6021,Wonderful Guest Bedroom in Manhattan for SINGLES,11528,Claudio,231010577,Manhattan,Upper West Side,36551,Private room,85,1,2
6090,West Village Nest - Superhost,11975,Alina,243731357,Manhattan,West Village,36527,Entire home/apt,120,1,2
6848,Only 2 stops to Manhattan studio,15991,Allen & Irina,258868844,Brooklyn,Williamsburg,36577,Entire home/apt,140,1,1
7097,Perfect for Your Parents + Garden,17571,Jane,263583866,Brooklyn,Fort Greene,36559,Entire home/apt,215,1,3
7322,Chelsea Perfect,18946,Doti,266566927,Manhattan,Chelsea,36536,Private room,140,1,7
7726,Hip Historic Brownstone Apartment with Backyard,20950,Adam And Charity,266825034,Brooklyn,Crown Heights,36576,Entire home/apt,99,1,3
7750,Huge 2 BR Upper East  Cental Park,17985,Sing,280496925,Manhattan,East Harlem,36579,Entire home/apt,190,2,2
7801,Sweet and Spacious Brooklyn Loft,21207,Chaya,345332937,Brooklyn,Williamsburg,36502,Entire home/apt,299,1,1
8024,CBG CtyBGd HelpsHaiti rm#1:1-4,22486,Lisel,358267047,Brooklyn,Park Slope,36578,Private room,130,6,2
8025,CBG Helps Haiti Room#2.5,25183,Lisel,368586246,Brooklyn,Park Slope,36533,Private room,80,6,2
8110,CBG Helps Haiti Rm #2,25326,Lisel,445337908,Brooklyn,Park Slope,36564,Private room,110,6,1
8490,"MAISON DES SIRENES1,bohemian apartment",26394,Nathalie,606178500,Brooklyn,Bedford-Stuyvesant,36561,Entire home/apt,120,2,4
8505,Sunny Bedroom Across Prospect Park,30193,Gregory,634823509,Brooklyn,Windsor Terrace,36580,Private room,60,2,10
8700,Magnifique Suite au N de Manhattan - vue Cloitres,31374,Claude & Sophie,658723396,Manhattan,Inwood,36535,Private room,80,1,3
9357,Midtown Pied-a-terre,21904,Tommi,705356075,Manhattan,Hell's Kitchen,36547,Entire home/apt,150,1,8
9518,"SPACIOUS, LOVELY FURNISHED MANHATTAN BEDROOM",32294,Shon,805229245,Manhattan,Inwood,36549,Private room,44,3,3
9657,Modern 1 BR / NYC / EAST VILLAGE,32045,Dana,844454682,Manhattan,East Village,36530,Entire home/apt,180,1,2
9668,front room/double bed,32169,Ssameer Or Trip,857299959,Manhattan,Harlem,36562,Private room,50,3,4
9704,Spacious 1 bedroom in luxe building,35935,Teri,935210241,Manhattan,Harlem,36532,Private room,52,1,3
9782,Loft in Williamsburg Area w/ Roof,7355,Andrea,974774701,Brooklyn,Greenpoint,36526,Private room,55,3,1
9783,back room/bunk beds,44145,Ssameer Or Trip,1014822088,Manhattan,Harlem,36555,Private room,50,3,4
10452,Large B&B Style rooms,45445,Angela,1093227543,Brooklyn,Bedford-Stuyvesant,36511,Private room,70,2,6
10962,"Lovely room 2 & garden; Best area, Legal rental",46978,Laurie,1129235875,Brooklyn,South Slope,36567,Private room,89,3,2
11452,Clean and Quiet in Brooklyn,47610,Vt,1143359956,Brooklyn,Bedford-Stuyvesant,36574,Private room,35,1,1
11708,Cute apt in artist's home,47618,Tyrome,1168783207,Brooklyn,Bushwick,36480,Entire home/apt,85,2,1
11943,Country space in the city,16800,Harriet,1183148438,Brooklyn,Flatbush,36507,Private room,150,1,2
12048,LowerEastSide apt share shortterm 1,47727,Ben,1219205895,Manhattan,Lower East Side,36542,Shared room,40,4,3
12192,ENJOY Downtown NYC!,49670,Edward,1448163866,Manhattan,East Village,36017,Private room,68,2,7
12299,Beautiful Sunny Park Slope Brooklyn,50124,Abdul,1573178251,Brooklyn,South Slope,36016,Entire home/apt,120,1,4
12303,1bdr w private bath. in lofty apt,50148,Yolande,1586552873,Brooklyn,Fort Greene,36311,Private room,120,1,7
12318,West Side Retreat,50846,Cyn,1755471110,Manhattan,Upper West Side,36374,Private room,135,1,6
12343,BEST BET IN HARLEM,52335,Earl,1826257634,Manhattan,Harlem,36048,Entire home/apt,150,1,3
12627,Entire apartment in central Brooklyn neighborhood.,54275,Rana,1880409118,Brooklyn,Prospect-Lefferts Gardens,36053,Entire home/apt,150,1,7
12937,"1 Stop fr. Manhattan! Private Suite,Landmark Block",56094,Orestes,2011147642,Queens,Long Island City,36317,Private room,130,1,3
12940,Charming Brownstone 3 - Near PRATT,56104,Adreinne,2147609712,Brooklyn,Bedford-Stuyvesant,36027,Entire home/apt,110,1,3
13050,bright and stylish duplex,56246,Jennifer,2147609754,Brooklyn,Bedford-Stuyvesant,36072,Entire home/apt,115,1,1
13394,Fort Greene brownstone ,56284,Alexander,2147609766,Brooklyn,Fort Greene,35035,Private room,80,2,2
13808,Blue Room for 2 in Brownstone for $1350 monthly,56512,JT And Tiziana,2147609774,Brooklyn,Bedford-Stuyvesant,35034,Private room,80,3,3
14287,Cozy 1BD on Central Park West in New York City,59023,Joya,2147609785,Manhattan,Upper West Side,36750,Entire home/apt,151,1,2
14290,* ORIGINAL BROOKLYN LOFT *,59734,James,2147609789,Brooklyn,Williamsburg,35115,Entire home/apt,228,1,7
14314,Greenpoint Place...Has It All! ,60049,Jeanne,2147609816,Brooklyn,Greenpoint,35188,Entire home/apt,144,1,8
14322,Beautiful Apartment in Manhattan!!!,60252,Francesca,2147609835,Manhattan,Kips Bay,36793,Entire home/apt,200,1,5
14377,Williamsburg 1 bedroom Apartment,60278,Joanna,2147609840,Brooklyn,Williamsburg,35074,Entire home/apt,150,1,2
14991,"Great Location, Manhattan Bedroom!",61491,Bianca,2147609858,Manhattan,Lower East Side,35042,Private room,110,1,4
15220,Best Location in NYC! TIMES SQUARE!,63588,Luiz,2147609929,Manhattan,Hell's Kitchen,35111,Private room,69,2,4
15338,Room in Greenpoint Loft w/ Roof,63613,Andrea,2157930553,Brooklyn,Greenpoint,35184,Private room,49,3,2
15341,**Bright Nolita Apt w Doorman/Elevators/Gym**,63924,Ted,2195921577,Manhattan,SoHo,36792,Entire home/apt,180,1,8
15385,"Very, very cozy place",64056,Cristina,2234533717,Brooklyn,Williamsburg,35456,Private room,80,1,2
15396,Sunny & Spacious Chelsea Apartment,64442,Petra,2269442456,Manhattan,Chelsea,35031,Entire home/apt,375,1,4
15711,2 bedroom - Upper East Side-great for kids,64522,D,2314566469,Manhattan,Upper East Side,35121,Entire home/apt,250,2,7
16326,Comfortable 4-bedroom apt in family house.,4396,Dimitri,2372177891,Brooklyn,Prospect Heights,35063,Entire home/apt,200,2,8
16338,Double Room w Private Deck Clinton Hill Best Area,65837,Patricia,2404832493,Brooklyn,Clinton Hill,35016,Private room,55,2,3
16421,Your Heaven in Hells Kitchen,66035,Mark,2428973832,Manhattan,Hell's Kitchen,35079,Private room,52,1,1
16458,Light-filled 2B duplex in the heart of Park Slope!,66243,Sara,2457183642,Brooklyn,Park Slope,35097,Entire home/apt,225,1,1
16580,"Sunny, Modern room in East Village!",68428,Reka,2558399667,Manhattan,East Village,35133,Private room,80,2,1
16595,*HAVEN LOFT - Entire Floor - Six Windows - Bricks*,68599,Daniel,2735151240,Brooklyn,Williamsburg,35957,Entire home/apt,275,1,4
16821,Large Room in Amazing East Village Apt,69829,Casey,2737009242,Manhattan,East Village,35126,Private room,99,2,9
16974,SpaHa Loft: Enormous and Bright,69942,Robin,2747409392,Manhattan,East Harlem,35049,Entire home/apt,225,1,7
17037,Lovely EV Artist's Home,70091,Anna,2748500131,Manhattan,East Village,35172,Entire home/apt,230,1,2
17092,Cool Room in Hell's Kitchen,71512,Enzo,2790549389,Manhattan,Hell's Kitchen,35952,Private room,51,1,2
17693,"HARLEM, NEW YORK WELCOMES YOU!!",71876,Tye And Etienne,2796728000,Manhattan,Washington Heights,35180,Private room,65,2,5
17747,BLUE TRIM GUEST HOUSE,72014,George,2826285517,Brooklyn,Clinton Hill,35146,Private room,105,1,1
18127,Charming East Village One Bedroom Flat,73051,Josh,2838336689,Manhattan,East Village,35976,Entire home/apt,190,1,6
