listing_id,host_id,Number_of_host_listings
2539,2787,6
2595,2845,2
3647,4632,1
3831,4869,1
5022,7192,1
5099,7322,1
5121,7356,1
5178,8967,1
5203,7490,1
5238,7549,4
5295,7702,1
5441,7989,1
5803,9744,3
6021,11528,1
6090,11975,1
6848,15991,1
7097,17571,1
7322,18946,1
7726,20950,1
7750,17985,2
7801,21207,1
8024,22486,6
8025,25183,6
8110,25326,6
8490,26394,2
8505,30193,2
8700,31374,1
9357,21904,1
9518,32294,3
9657,32045,1
9668,32169,3
9704,35935,1
9782,7355,3
9783,44145,3
10452,45445,2
10962,46978,3
11452,47610,1
11708,47618,2
11943,16800,1
12048,47727,4
12192,49670,2
12299,50124,1
12303,50148,1
12318,50846,1
12343,52335,1
12627,54275,1
12937,56094,1
12940,56104,1
13050,56246,1
13394,56284,2
13808,56512,3
14287,59023,1
14290,59734,1
14314,60049,1
14322,60252,1
14377,60278,1
14991,61491,1
15220,63588,2
15338,63613,3
15341,63924,1
15385,64056,1
15396,64442,1
15711,64522,2
16326,4396,2
16338,65837,2
16421,66035,1
16458,66243,1
16580,68428,2
16595,68599,1
16821,69829,2
16974,69942,1
17037,70091,1
17092,71512,1
17693,71876,2
17747,72014,1
18127,73051,1
18152,73128,1
18198,73469,1
18590,44263,1
18728,74303,1
18764,74857,4
19159,62407,1
19169,76627,1
19282,961342,1
19319,78460,1
19601,51038,1
19812,79070,1
20299,79402,1
20300,42032,1
20611,82685,4
20724,83257,1
20734,87773,1
20755,11481,6
20853,63318,1
20913,93790,1
21293,97219,2
21456,97797,1
21644,105538,1
21794,107628,2
22911,109589,2
22918,112793,3
23135,42273,3
23501,72062,1
23686,115157,2
24143,115307,1
24285,115560,1
25235,118971,2
25406,119510,1
25696,119588,1
26012,119900,1
26362,120223,2
26520,65091,6
26559,6197784,1
26785,124352,2
26933,124797,4
26954,126607,1
26969,127608,1
27006,125857,1
27385,129352,4
27531,120335,3
27644,117287,1
27659,135619,2
27759,137292,1
27883,137814,1
28321,137974,1
28396,116599,1
28907,138579,1
29012,139612,1
29013,139874,2
29455,140025,3
29628,142833,1
29683,143027,1
30031,143048,1
30927,149929,1
31130,120291,3
31555,62165,1
31902,142684,1
31994,137432,3
32023,157798,2
32037,158284,3
32100,159370,1
32289,92788,1
32331,165789,1
32363,168417,1
32965,168525,2
32969,110506,1
33009,170510,1
33014,171851,1
33223,174025,4
34760,180083,5
35526,181167,1
36121,185978,1
36133,177536,1
36442,190409,1
36647,193360,1
36703,193722,1
36934,181376,1
38638,193637,2
38663,201297,1
39267,202249,2
39282,67778,2
39593,204539,1
39704,867225,2
40039,204724,1
40453,8198,1
41348,209460,1
41513,210746,1
42580,212722,3
42729,214148,3
42882,214287,1
43957,218404,1
44096,221873,3
44161,236421,1
44212,236655,4
44221,237329,1
44229,27848,2
44288,240360,1
44506,247432,3
45393,10889,1
45542,255583,1
45556,253385,2
45910,256161,5
45936,258164,2
45940,260709,1
46544,262138,1
46723,88209,4
46911,263414,3
47199,264928,1
47362,267593,1
47370,268014,1
47926,272006,1
48719,199392,1
50447,239208,3
51438,274557,2
51485,275459,1
51572,275578,1
51850,276291,2
53137,277379,1
53196,277394,1
53469,279797,5
53470,282927,5
53477,274782,5
54158,186084,2
54453,288031,1
54466,289653,1
54508,99212,3
54544,292204,5
54626,249372,3
54860,292630,1
55467,293394,1
55498,295760,1
55668,291112,1
55737,297176,1
55959,297769,2
55982,23619,1
56467,281764,1
56525,303882,1
56859,197755,5
57166,303939,1
57297,306545,1
57468,306605,1
57618,306739,1
57740,308875,1
57754,307962,1
57874,308652,2
58059,310458,2
58062,295128,1
58467,310670,1
59014,311286,1
59121,312288,5
59642,312722,1
59709,146944,2
59855,313317,1
60164,314256,1
60457,314582,1
60611,7310,2
60666,317809,5
60673,319092,1
60680,320422,1
60794,320450,1
60948,320761,3
61167,320538,1
61224,321756,1
61406,321934,2
61492,322884,2
61509,322716,1
62095,324460,1
62427,314941,1
62430,325389,1
62452,136227,6
62461,327673,6
62787,329436,6
62891,101597,2
62903,330347,2
62925,332189,3
63299,323517,2
63320,338454,6
63360,240427,1
63546,342054,2
63573,282655,2
63588,343250,7
