listing_id,name
2539,Clean & quiet apt home by the park
2595,Skylit Midtown Castle
3647,THE VILLAGE OF HARLEM....NEW YORK !
3831,Cozy Entire Floor of Brownstone
5022,Entire Apt: Spacious Studio/Loft by central park
5099,Large Cozy 1 BR Apartment In Midtown East
5121,BlissArtsSpace!
5178,Large Furnished Room Near B'way 
5203,Cozy Clean Guest Room - Family Apt
5238,Cute & Cozy Lower East Side 1 bdrm
5295,Beautiful 1br on Upper West Side
5441,Central Manhattan/near Broadway
5803,"Lovely Room 1, Garden, Best Area, Legal rental"
6021,Wonderful Guest Bedroom in Manhattan for SINGLES
6090,West Village Nest - Superhost
6848,Only 2 stops to Manhattan studio
7097,Perfect for Your Parents + Garden
7322,Chelsea Perfect
7726,Hip Historic Brownstone Apartment with Backyard
7750,Huge 2 BR Upper East  Cental Park
7801,Sweet and Spacious Brooklyn Loft
8024,CBG CtyBGd HelpsHaiti rm#1:1-4
8025,CBG Helps Haiti Room#2.5
8110,CBG Helps Haiti Rm #2
8490,"MAISON DES SIRENES1,bohemian apartment"
8505,Sunny Bedroom Across Prospect Park
8700,Magnifique Suite au N de Manhattan - vue Cloitres
9357,Midtown Pied-a-terre
9518,"SPACIOUS, LOVELY FURNISHED MANHATTAN BEDROOM"
9657,Modern 1 BR / NYC / EAST VILLAGE
9668,front room/double bed
9704,Spacious 1 bedroom in luxe building
9782,Loft in Williamsburg Area w/ Roof
9783,back room/bunk beds
10452,Large B&B Style rooms
10962,"Lovely room 2 & garden; Best area, Legal rental"
11452,Clean and Quiet in Brooklyn
11708,Cute apt in artist's home
11943,Country space in the city
12048,LowerEastSide apt share shortterm 1
12192,ENJOY Downtown NYC!
12299,Beautiful Sunny Park Slope Brooklyn
12303,1bdr w private bath. in lofty apt
12318,West Side Retreat
12343,BEST BET IN HARLEM
12627,Entire apartment in central Brooklyn neighborhood.
12937,"1 Stop fr. Manhattan! Private Suite,Landmark Block"
12940,Charming Brownstone 3 - Near PRATT
13050,bright and stylish duplex
13394,Fort Greene brownstone 
13808,Blue Room for 2 in Brownstone for $1350 monthly
14287,Cozy 1BD on Central Park West in New York City
14290,* ORIGINAL BROOKLYN LOFT *
14314,Greenpoint Place...Has It All! 
14322,Beautiful Apartment in Manhattan!!!
14377,Williamsburg 1 bedroom Apartment
14991,"Great Location, Manhattan Bedroom!"
15220,Best Location in NYC! TIMES SQUARE!
15338,Room in Greenpoint Loft w/ Roof
15341,**Bright Nolita Apt w Doorman/Elevators/Gym**
15385,"Very, very cozy place"
15396,Sunny & Spacious Chelsea Apartment
15711,2 bedroom - Upper East Side-great for kids
16326,Comfortable 4-bedroom apt in family house.
16338,Double Room w Private Deck Clinton Hill Best Area
16421,Your Heaven in Hells Kitchen
16458,Light-filled 2B duplex in the heart of Park Slope!
16580,"Sunny, Modern room in East Village!"
16595,*HAVEN LOFT - Entire Floor - Six Windows - Bricks*
16821,Large Room in Amazing East Village Apt
16974,SpaHa Loft: Enormous and Bright
17037,Lovely EV Artist's Home
17092,Cool Room in Hell's Kitchen
17693,"HARLEM, NEW YORK WELCOMES YOU!!"
17747,BLUE TRIM GUEST HOUSE
18127,Charming East Village One Bedroom Flat
18152,Manhattan Room
18198,Little King of Queens
18590,Fort Greene Retreat on the Park
18728,Beautiful Meatpacking District Loft
18764,Cozy 2 BR in Williamsburg 
19159,Spacious luminous apt Upper West NYC
19169,Entire 2 Bedroom - Large & Sunny
19282,"Sunny, Spacious Top Floor Haven"
19319,Private room Great Deal at Lower East Side
19601,perfect for a family or small group
19812,2 bedroom Williamsburg Apt - Bedford L stop
20299,Oh glorious spring!
20300,Great Location for NYC
20611,Cozy Bedroom in Williamsburg 3 BR
20724,Sunny room+Pvte office in huge loft
20734,Spacious Prospect Heights Apartment
20755,"Large Parlor Room, Landmark Home 1 block to PRATT"
20853,2-bed brownstone duplex + garden
20913,Charming 1 bed GR8 WBurg LOCATION!
21293,Sunny Apartment in Artist Home
21456,Light-filled classic Central Park 
21644,"Upper Manhattan, New York"
21794,COZY QUIET room 4 DOOGLERS!
22911,The Stuydio Modern and Light Filled
22918,loft bed - near transportation-15min to times sq
23135,House On Henry (3rd FLR Suite)
23501,Monkey Retreat Manhattan
23686,2000 SF 3br 2bath West Village private  townhouse
24143,"Williamsburg—Steps To Subway, Private Bath&Balcony"
24285,Beautiful Duplex Apartment
25235,Large 2 Bedroom Great for Groups!
25406,"Modern Brooklyn Apt., August sublet"
25696,"1,800 sq foot in luxury building"
26012,Sunny 2-story Brooklyn townhouse w deck and garden
26362,"Times Square, Safe, Clean and Cozy!"
26520,"Cozy Room #3, Landmark Home 1 Block to PRATT"
26559,Beautiful Apartment East Village
26785,Park Slope Green Guest House
26933,2 BR / 2 Bath Duplex Apt with patio! East Village
26954,NYC fabulous views Manhattan's eye
26969,2 story family home in Williamsburg
27006,Comfortable UWS 2-BD Family-Friendly Brownstone
27385,Great Large 1 BR apt  in East Village!
27531,Eveland Private Bed & Living Room w/ Own Entrance
27644,Sugar Hill Rest Stop 
27659,3 Story Town House in Park Slope
27759,apartment next to Central park
27883,East Village Sanctuary
28321,Large 1  BR in a 3 BR Brooklyn apt. next to Q Trn.
28396,Modern Apt with Spectacular Views
28907,Garden studio in the Upper East Sid
29012,Secluded Master Bedroom in Beautiful Huge Apt
29013,B & B Room 1
29455,ACCOMMODATIONS GALORE #1
29628,Sunny Room in New Condo
29683,Stylish & Sleek Apartment Near SoHo!
30031,NYC artists’ loft with roof deck
30927,Unique & Charming small 1br Apt. LES
31130,Most Central Location!
31555,Luminous Beautiful West Village Studio
31902,Sanctuary in East Flatbush
31994,Room with En Suite Bathroom & Deck
32023,FLAT MACDONOUGH
32037,Huge Private  Floor at The Waverly
32100,"Modern Greenpoint, Brooklyn Apt"
32289,"Sun-drenched, artsy modernist 1 BDRM duplex"
32331,"Sunny, Cobble Hill Apartment"
32363,Fully Furnished Basement Apartment
32965,FLAT MACDONOUGH GARDEN
32969,Light filled Williamsburg Apartment
33009,Retreat in Williamsburg
33014,NYC Zen
33223,Cozy BR in Wiliamsburg 3 Bedroom
34760,Sunny Room in Old Historical Brooklyn Townhouse
35526,Sun Filled Classic West Village Apt
36121,Lg Rm in Historic Prospect Heights
36133,Classic Artist Loft Williamsburg
36442,Great location. Spacious on PROSPECT PARK
36647,Private Bdrm/Bathrm. New! Elevator!
36703,"Sunny, clean 1 bdrm in W. Village"
36934,Great location in Williamsburg
38638,Light and Airy Upper East Side 1 BDR apartment
38663,Luxury Brownstone in Boerum Hill
39267,CENTRAL PARK LOFT all for YOU
39282,Indie-Chic Share In Williamsburg
39593,"A room w/ a Manhattan view, longer stay"
39704,"Private, Large & Sunny 1BR w/W&D"
40039,Luxurious Condo in DUBMO with View
40453,Charming & Cozy midtown loft any WEEK ENDS  !!!
41348,* Spacious GARDEN Park Slope Duplex* 6 people max
41513,Convenient cozy cheap apt Manhattan
42580,Parlor Room In Victorian Townhouse
42729,House On Henry (2nd FLR Suite)
42882,New York room with a view
43957,Sunny cozy room in Brklyn townhouse
44096,Room with a View
44161,Light+Open+Airy+Rustic+Modern Loft
44212,West Inn 2 - East Village
44221,Financial District Luxury Loft
44229,BROOKLYN VICTORIAN STYLE SUITE.....
44288,Your own Lovely West Village Studio
44506,ACCOMMODATIONS GALORE#3. 1-5 GUESTS
45393,Greenwich Village Stylish Apartment
45542,Clean and Cozy Harlem Apartment
45556,"Fort Greene, Brooklyn: Center Bedroom"
45910,Beautiful Queens Brownstone! - 5BR
45936,Couldn't Be Closer To Columbia Uni
45940,Bright Spacious Luxury Condo
46544,Park Slope haven 15 mins from Soho
46723,SAFE  AND BEAUTIFUL ACCOMODATION
46911,Large Room in private Brownstone in Park Slope
47199,"NEW YORK CITY, 1 BDRM.(NEAR CENTRAL PARK & METRO)"
47362,"LARGE, COMFY 1BDR W/CHARACTER!!!"
47370,Chelsea Studio sublet 1 - 2 months
47926,LUX APT IN TIMES SQUARE NEW BUILDING
48719,Designer 1 BR Duplex w/ Terrace- Spectacular Views
50447,Lovely Apt & Garden;  Legal;  Best Area; Amenities
51438,1 Bedroom in 2 Bdrm Apt- Upper East
51485,Lower East Side $57~/night
51572,Prime Location in Manhattan
51850,( F) Excellent/Pvt Rm
53137,"Quiet, sunny Midtown Manhattan apt."
53196,Big Room/Washer-Dryer/Wifi/AC/JMZ
53469,cozy studio with parking spot
53470,Clean and convenient 2BR apartment
53477,3 floors of luxury!
54158,The Institute—Heart of Williamsburg
54453,MIDTOWN WEST - Large alcove studio
54466,Beautiful Uptown Manhattan apartmnt
54508,Sml Rm in pr Brst  Park Sl great for Med/students
54544,City Room - Private Penthouse Apt.
54626,Cozy bedroom by Yankee Stadium
54860,Great apartment with private bathroom and entrance
55467,Private Garden Apt • New Renovation
55498,Modern comfort in art infused landmark Brownstone
55668,"NOHO/EAST VILLAGE, PRIVATE 1/2 BATH"
55737,Sleek & Comfortable Soho Apt
55959,Spacious Williamsburg Share w/ LOFT BED
55982,Cozy 2 br in sunny Fort Greene apt
56467,Cozy East Village Railroad 1 Bed!
56525,1 Bedroom Loft w/ Private Roof Deck
56859,City Room - Private & Comfy Bedroom
57166,Elegant NYC Pad
57297,"Clean & bright 1BR in Cobble Hill, GREAT location!"
57468,"Modern, Large East Village Loft"
57618,"Great new apt, close to everything"
57740,Quiet & Clean Retreat in the City
57754,Stylish Large Gramercy Loft!
57874,The Brownstone-Luxury 1 Bd Apt/NYC
58059,PRIVATE Room on Historic Sugar Hill
58062,South Slope Green
58467,"17 Flr. Manhattan Views, Nr. Subway"
59014,"Spacious 1BR, Adorable Clean Quiet"
59121,"Nice, clean, safe, convenient 3BR"
59642,Franklin St Flat in Trendy Greenpoint Brooklyn
59709,"Artistic, Cozy, and Spacious w/ Patio! Sleeps 5"
59855,One bedroom Apt. in NYC
60164,"Beautiful, elegant 3 bed SOHO loft"
60457,Spacious Greenwich Village Apt
60611,SpaHa Studio Monthly Rental
60666,City Room - Private Luxury Suite
60673,Private Room/bath Luxurious Harlem
60680,The gem of the East Village
60794,"Bright and spacious, garden below!"
60948,ACCOMMODATIONS GALORE #2
61167,Colorful Private One Bedroom Apt
61224,Huge Chelsea Loft
61406,Great room in great location
61492,Exclusive Room with Private Bath in  LES
61509,"Quiet, clean midtown apt w. elevato"
62095,BK Sweet Suite w/Kitchen&FullBath
62427,Great East Village Apartment Rental
62430,BROWNSTONE SUNDRENCHED BEAUTY
62452,A SpeciaL!! Private Room in NY
62461,B NYC Staten Alternative...
62787,C Private Room By The Ferry
62891,Smallest House In The Village
62903,Beautiful modern studio apartment in heart of NYC
62925,Beautiful Landmarked Duplex
63299,BROOKLYN > Guest Room w/ Queen Bed in Williamsburg
63320,D Private Che@p Room 2 Explore NYC
63360,Safe cute near subway& Manhattan NY NY retro style
63546,Large and Cozy Private Bedroom
63573,Small tidy bedroom in duplex
63588,LL3
